,perplexity,coherence
1,-10.332605891645525,0.4436817118078104
2,-10.241204991588774,0.48144022793024394
3,-10.201986619888606,0.4750954265516219
4,-10.124692945387025,0.4920100242434575
5,-10.103597572079472,0.4995888477825024
6,-10.081295156586359,0.5226077179168825
7,-10.02550708110027,0.6154467387632927
8,-10.029235689686251,0.49116518425024924
9,-10.00653286718685,0.5592945813728056
10,-9.99941381423852,0.5631770933571298
11,-9.993490221505231,0.5566759516653554
12,-9.985251558316996,0.5565691939226782
13,-9.957959462279382,0.5314264667758255
14,-9.974134314482336,0.5061574087768749
15,-9.960834941916678,0.5389554310456908
16,-9.962574778379905,0.5220299517511273
17,-9.97296814720641,0.5233059493863265
18,-9.944774070384124,0.5675130853632057
19,-9.988421368623825,0.5601860615708588
20,-9.950440657592434,0.5797224744827691
21,-9.959047552030055,0.5851229278452923
22,-9.951033625098177,0.5594046726493335
23,-9.96226980240841,0.5590918589746371
24,-9.961418707921906,0.5660300216013787
25,-9.969200784713719,0.5029368911184099
26,-9.96510607732994,0.5428652370113451
27,-9.938396534358466,0.5779362468328092
28,-9.937692312129197,0.560122658187565
29,-9.92927132611293,0.5520437007217852
30,-9.943042049040624,0.5574451492597772
31,-9.952978918692938,0.6039682909350643
32,-9.94836604400517,0.5562917482508503
33,-9.954330026197836,0.5711611773679226
34,-9.955004114565698,0.5411098455690333
35,-9.960524076273758,0.6150988690906782
36,-9.961161702721382,0.5685389650016168
37,-9.944898919117513,0.5528760619847233
38,-9.960801494478826,0.5371923990146644
39,-9.954072070300548,0.5458760757003402
